USU_ID,Trough,Tank,Chloride,Al,As,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Se,Si,Sr,Zn,Sulfate Sulfur,Carbonate_mmolc-L,Bicarbonate_mmolc-L
0285,1,1,3.16,,0.003,0.007,,23.4,,,,,0.00,1.17,5.19,,0.002,2.53,,,,4.12,,5.89,0.04,0.001,12.4,0.00,1.19
0286,1,2,3.10,,,0.007,0.013,98.0,,,,,,1.28,36.9,,0.001,2.53,,,,107,,5.90,0.08,,322,0.00,1.13
0287,1,3,2.74,,,0.007,0.019,218,,,0.001,,,1.07,96.5,,,1.91,,,,297,,4.20,0.09,0.001,891,0.00,0.63
0288,1,4,3.31,,,0.007,0.006,64.0,,,,0.003,,1.02,22.2,,0.002,2.53,,,,59.4,,7.05,0.08,,178,0.00,1.23
0289,1,5,2.79,,,0.005,0.011,187,,,0.002,,,1.04,83.4,,0.001,2.15,,,,250,,3.94,0.09,,749,0.00,0.71
0290,1,6,3.22,0.002,,0.007,0.011,135,,,,,,0.95,58.8,,0.001,2.58,,,,169,,4.64,0.09,,508,0.00,0.92
0291,2,7,2.31,,0.001,0.008,0.029,138,,,,,,1.11,59.0,,0.001,2.74,,,,171,,7.50,0.09,,514,0.00,1.00
0292,2,8,3.45,,,0.010,0.032,72.2,,,,,,1.61,25.0,,0.002,3.35,,0.046,0.003,64.6,,9.79,0.08,,194,0.00,1.40
0293,2,9,3.24,,,0.010,0.010,33.3,,,,,0.002,1.24,5.87,,0.003,3.23,,0.095,,2.99,,11.9,0.06,,8.98,0.00,1.67
0294,2,10,3.09,,,0.009,0.036,105,,,,,,1.29,42.3,,0.003,2.90,,,,118,,7.59,0.09,,355,0.00,1.13
0295,2,11,3.54,0.003,,0.010,0.036,232,,,,,,1.57,102,,0.002,2.97,,,,303,,6.34,0.15,,909,0.00,1.25
0296,2,12,3.71,,0.004,0.010,0.039,192,,,0.002,,,1.60,84.3,,0.002,3.43,,,,247,,8.17,0.15,,740,0.00,1.21
0297,3,13,2.57,,,0.006,0.006,66.0,,,,,,0.93,22.5,,,2.39,,,,61.3,,6.26,0.08,,184,0.00,1.17
0298,3,14,3.30,0.006,,0.007,0.024,202,,,,,,1.34,84.7,,,2.62,,,,257,,6.18,0.11,0.002,771,0.00,1.09
0299,3,15,2.74,,0.002,0.006,0.019,152,,,,,,1.03,63.4,,,2.36,,,,189,,5.14,0.09,,566,0.00,0.97
0300,3,16,3.35,,,0.006,0.024,242,,,0.001,,,1.32,104,,0.002,2.41,,,,315,,3.60,0.16,0.001,946,0.00,1.25
0301,3,17,3.09,0.003,,0.005,,28.0,,,,,,0.93,5.81,,0.001,2.50,,,,4.45,,6.84,0.05,,13.4,0.00,1.49
0302,3,18,3.28,,,0.007,0.006,100,,,,,0.003,1.20,44.9,,0.002,2.92,,,,119,,6.11,0.08,0.003,358,0.00,1.17
0303,4,19,3.17,,,0.005,0.017,234,,,,,,1.44,100,,0.002,2.53,,,,306,,3.48,0.18,,918,0.00,1.07
0304,4,20,3.43,,,0.007,,29.9,,,,,,1.09,6.24,,0.001,2.91,,0.055,,5.30,,8.11,0.06,,15.9,0.00,1.49
0305,4,21,2.91,,0.001,0.006,0.011,115,,,,,,1.21,45.5,,0.002,2.84,,,0.002,133,,6.89,0.10,,398,0.00,1.17
0306,4,22,2.56,,0.003,0.006,0.016,186,,,0.001,,,0.98,83.0,,,2.26,,,,250,,4.65,0.12,0.001,750,0.00,0.69
0307,4,23,2.65,,,0.007,0.018,152,,,,,,1.10,62.0,,,2.58,,,,187,,6.74,0.10,,562,0.00,1.01
0308,4,24,3.17,,,0.006,0.016,72.0,,,0.001,,,1.26,25.1,,0.003,2.85,,0.034,,67.4,,8.07,0.09,,202,0.00,1.33
0309,5,25,2.73,,,0.005,,94.9,,,,,,0.98,39.7,,0.001,2.35,,,,113,,3.77,0.07,,340,0.00,0.92
0310,5,26,2.87,,0.003,0.004,0.001,200,,,,,,0.88,86.9,,,1.89,,,,266,,1.07,0.12,0.005,797,0.00,0.92
0311,5,27,2.60,,0.002,0.005,0.002,164,,,,,,0.99,72.2,,,2.13,,,,217,,2.83,0.08,0.004,650,0.00,0.73
0312,5,28,3.04,,0.001,0.006,0.005,138,,,,,,1.11,57.6,,,2.37,,,,172,,3.49,0.08,0.002,517,0.00,0.96
0313,5,29,2.69,,0.005,0.005,,59.2,,,,,,0.78,22.1,,0.001,2.13,,,,61.6,,3.21,0.06,,185,0.00,1.03
0314,5,30,2.87,,0.002,0.004,,20.3,,,,,,0.65,3.84,,0.001,2.13,,,,2.61,,4.79,0.03,,7.84,0.00,1.17
0315,6,31,3.17,,,0.007,0.013,178,,,0.001,,,1.42,73.5,,0.001,2.78,,,,227,,3.60,0.10,,681,0.00,0.91
0316,6,32,3.31,,,0.006,0.011,151,,,0.002,,,1.42,61.1,,0.001,3.03,,,,186,,4.55,0.10,,558,0.00,1.01
0317,6,33,3.30,,,0.007,0.004,64.4,,,,,,1.27,21.3,,,2.98,,,0.002,60.8,,5.47,0.07,,182,0.00,1.20
0318,6,34,3.09,,,0.006,,20.5,,,,,,0.91,4.50,,0.001,2.66,,,,3.25,,5.08,0.05,,9.76,0.00,1.16
0319,6,35,3.19,0.002,0.002,0.007,0.006,94.4,,,0.001,,,1.22,35.4,,0.002,2.87,,,,106,,4.92,0.08,,317,0.00,1.03
0320,6,36,3.28,0.002,0.003,0.007,0.016,221,,,0.002,,,1.64,92.2,,,2.93,,,,287,,2.77,0.16,0.001,862,0.00,1.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
