ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm)
4A,3,87,2.90,19
19A,4.5,73,1.62,9
18A,4.5,71,1.58,8.5
10A,4.5,90,2.00,12.5
3A,4.5,86,1.91,12.5
14A,3,88,2.93,19
13A,4.5,80,1.78,10.5
7A,4.5,63,1.40,9.5
16A,4.5,92,2.04,12.5
15A,4.5,94,2.09,14.5
21A,3,85,2.83,19
8A,4.5,87,1.93,12
9A,3,93,3.10,19
6A,3.5,92,2.63,18.5
12A,3.5,97,2.77,19
30A,2.5,88,3.52,23.5
22A,4.5,80,1.78,13
25A,4.5,85,1.89,11
11A,4.5,86,1.91,10
5A,4.5,72,1.60,9
36A,4.5,68,1.51,8
35A,4.5,77,1.71,11
40A,4.5,86,1.91,11
20A,4.5,82,1.82,11
17A,4.5,70,1.56,8
33A,4.5,83,1.84,11
2A,3,96,3.20,21.5
23A,3,89,2.97,20
31A,2.5,85,3.40,23.5
37A,2.5,93,3.72,20
29A,3,92,3.07,22.5
34A,4.5,80,1.78,11
26A,3,90,3.00,18.5
28A,4.5,89,1.98,12.5
27A,4.5,77,1.71,9
1A,3,98,3.27,19.5
39A,4.5,94,2.09,13
24A,4.5,87,1.93,12
32A,4.5,84,1.87,11
38A,2.5,83,3.32,21
74A,3,88,2.93,18
72A,2.5,87,3.48,22
63A,2.5,87,3.48,21
73A,4,100,2.50,17
76A,4,88,2.20,13.5
78A,2.5,87,3.48,22
71A,3,90,3.00,19
77A,2.5,82,3.28,22
80A,3,92,3.07,20
66A,3,98,3.27,22
62A,4,98,2.45,15
69A,3,85,2.83,18
75A,3,92,3.07,22
68A,3.5,95,2.71,17
70A,4.5,89,1.98,13
79A,4.5,93,2.07,13
55A,4,95,2.38,15
61A,4,98,2.45,16.5
58A,3.5,93,2.66,17
67A,4.5,94,2.09,13
49A,3.5,96,2.74,19
57A,4.5,90,2.00,12
46A,4.5,80,1.78,10
45A,3,90,3.00,21
53A,3,92,3.07,20
41A,3.5,100,2.86,18
48A,3,97,3.23,20.5
51A,3.5,97,2.77,17.5
56A,3.5,93,2.66,16
47A,4.5,100,2.22,14
59A,4.5,95,2.11,12.5
65A,3.5,95,2.71,17
64A,3.5,95,2.71,18
50A,4.5,85,1.89,11.5
44A,3.5,83,2.37,14
60A,4.5,82,1.82,12
52A,4.5,78,1.73,10
42A,4.5,76,1.69,9
54A,4.5,93,2.07,12
43A,4.5,90,2.00,12
84A,4.5,97,2.16,13
88A,3.5,96,2.74,17.5
97A,4.5,90,2.00,12
93A,4.5,82,1.82,11
94A,4.5,89,1.98,13
92A,3,91,3.03,19
83A,3,88,2.93,19
95A,3,95,3.17,20
96A,4.5,70,1.56,10.5
89A,3,87,2.90,21
100A,3,92,3.07,19
85A,3,97,3.23,21
87A,3.5,90,2.57,16
99A,4.5,82,1.82,11.5
82A,3,87,2.90,18
98A,3,93,3.10,22
81A,4.5,93,2.07,13.5
91A,4.5,88,1.96,11
90A,3,98,3.27,22
17B,3.5,98,2.80,19
16B,4.5,85,1.89,13
15B,4.5,90,2.00,13
20B,3.5,93,2.66,18
08B,3,91,3.03,21
06B,3,83,2.77,22
10B,4.5,79,1.76,11.5
13B,3,96,3.20,22
86A,3,87,2.90,19
12B,4.5,69,1.53,9
04B,3,91,3.03,20.5
18B,4.5,66,1.47,8.5
19B,4.5,70,1.56,9.5
11B,3,100,3.33,22
02B,3,89,2.97,20
14B,3.5,92,2.63,18
01B,3,91,3.03,20
05B,3.5,93,2.66,18
03B,4.5,66,1.47,8.5
07B,4.5,85,1.89,12
09B,4.5,84,1.87,12
42B,3.5,99,2.83,19.5
51B,4.5,83,1.84,12.5
54B,3,97,3.23,22.5
60B,4,91,2.28,14
56B,3,92,3.07,20
47B,3.5,96,2.74,19
57B,4.5,94,2.09,14
50B,4.5,83,1.84,11
49B,2.5,89,3.56,23
37B,4.5,85,1.89,12
44B,4.5,96,2.13,14
35B,3,92,3.07,20
58B,3.5,99,2.83,20
34B,3,92,3.07,19.5
53B,3.5,93,2.66,16
23B,3.5,100,2.86,18
32B,3,94,3.13,21
39B,4.5,99,2.20,13.5
38B,4.5,68,1.51,9
33B,4.5,85,1.89,12
48B,3.5,92,2.63,18
45B,3.5,91,2.60,17
59B,4,96,2.40,15
52B,4.5,78,1.73,12.5
55B,3.5,93,2.66,19
49B,4.5,92,2.04,12.5
26B,4,93,2.33,14
29B,4.5,74,1.64,10.5
30B,4.5,83,1.84,12
40B,4.5,94,2.09,13
41B,3,91,3.03,20
27B,3,93,3.10,19.5
31B,3,93,3.10,19
22B,4.5,67,1.49,9
43B,4.5,76,1.69,9.5
25B,3,87,2.90,18
28B,4.5,91,2.02,14
36B,4.5,93,2.07,13
24B,3,89,2.97,20
21B,4.5,82,1.82,10.5
96B,3,87,2.90,18
91B,3.5,95,2.71,17
92B,4.5,52,1.16,6
98B,3.5,95,2.71,19
88B,4,96,2.40,17
99B,3.5,98,2.80,19
76B,4.5,83,1.84,11
94B,3.5,98,2.80,21
95B,4.5,83,1.84,11
81B,4.5,81,1.80,11
93B,3.5,98,2.80,18
74B,3,99,3.30,22
73B,4.5,94,2.09,13
75B,4,96,2.40,15.5
80B,4.5,91,2.02,14
100B,4.5,69,1.53,10
97B,4.5,88,1.96,12
85B,3.5,89,2.54,16
86B,3,89,2.97,18
87B,4.5,93,2.07,12
77B,3.5,100,2.86,18
84B,3.5,92,2.63,17
90B,4.5,87,1.93,13
79B,3,88,2.93,17
78B,4,94,2.35,13
66B,4.5,62,1.38,7.5
89B,3,89,2.97,19
83B,4.5,78,1.73,10
67B,4.5,92,2.04,13.5
70B,4.5,76,1.69,10
69B,3,91,3.03,20
65B,3,88,2.93,21
71B,3,87,2.90,20
82B,4.5,92,2.04,13
68B,4,98,2.45,16
72B,4.5,98,2.18,13.5
64B,4.5,95,2.11,13.5
61B,4.5,95,2.11,14
63B,4.5,86,1.91,12
62B,3.5,96,2.74,19
38C,4.5,81,1.80,10
39C,4.5,98,2.18,14.5
29C,4.5,81,1.80,11.5
36C,4.5,72,1.60,10
25C,4.5,84,1.87,10.5
31C,4.5,77,1.71,11
28C,3,91,3.03,19.5
34C,3.5,86,2.46,17
27C,4,91,2.28,15
33C,4.5,97,2.16,13.5
20C,4.5,97,2.16,15
23C,4.5,77,1.71,11
16C,4.5,83,1.84,11
32C,4.5,84,1.87,10.5
22C,4.5,87,1.93,11
30C,4.5,78,1.73,10.5
13C,4.5,76,1.69,9.5
40C,4.5,91,2.02,11.5
37C,4,92,2.30,11.5
21C,3.5,88,2.51,15
17C,4.5,85,1.89,10.5
26C,4.5,87,1.93,11.5
15C,4.5,70,1.56,10
19C,4.5,93,2.07,11.5
35C,4.5,85,1.89,12
18C,4,95,2.38,14
06C,4.5,78,1.73,10.5
24C,4.5,81,1.80,10.5
14C,4,98,2.45,14
07C,3,89,2.97,19
11C,3.5,98,2.80,17.5
12C,4.5,67,1.49,8.5
04C,3.5,92,2.63,16
03C,4.5,60,1.33,8
05C,4.5,80,1.78,11.5
09C,3.5,93,2.66,17
08C,4.5,85,1.89,11.5
01C,4.5,77,1.71,10
10C,4.5,96,2.13,14
02C,3.5,92,2.63,16
80C,3.5,94,2.69,16.5
72C,3.5,89,2.54,17
79C,3.5,95,2.71,19
65C,3.5,95,2.71,17
67C,3.5,99,2.83,18
57C,3,86,2.87,18
71C,3.5,95,2.71,17
68C,3.5,97,2.77,18
66C,3.5,96,2.74,19
63C,4.5,86,1.91,11.5
51C,4.5,79,1.76,10
78C,4.5,84,1.87,12
53C,4.5,81,1.80,10
58C,4.5,76,1.69,10
70C,4.5,65,1.44,8.5
64C,4,88,2.20,14
74C,4.5,68,1.51,9
76C,3.5,86,2.46,15
60C,4.5,79,1.76,10.5
61C,4,94,2.35,15
77C,4.5,82,1.82,11.5
56C,4.5,90,2.00,12.5
75C,4.5,78,1.73,10.5
44C,4.5,86,1.91,13
43C,4.5,82,1.82,10.5
46C,4.5,95,2.11,12.5
48C,4.5,90,2.00,13.5
52C,4.5,100,2.22,13.5
