DATE,TANK,TEMP (C) ,DO%,DO (mg/L),CONDUCTIVITY
7/29/2020,1,15.4,77.7,7.77,60
7/29/2020,2,15.4,82.6,8.26,815
7/29/2020,3,15.5,82.5,8.24,1685
7/29/2020,4,15.4,83.8,8.38,485
7/29/2020,5,15.3,83.5,8.37,1395
7/29/2020,6,14.8,84.0,8.50,1100
7/29/2020,7,21.4,83.8,7.46,1165
7/29/2020,8,21.3,82.2,7.38,510
7/29/2020,9,21.4,83.1,7.39,70
7/29/2020,10,21.5,84.6,7.47,850
7/29/2020,11,21.7,84.1,7.39,1755
7/29/2020,12,21.8,83.9,7.36,1485
7/29/2020,13,16.4,83.4,8.15,480
7/29/2020,14,16.4,83.7,8.18,1445
7/29/2020,15,16.4,82.8,8.11,1160
7/29/2020,16,16.3,82.0,8.04,1735
7/29/2020,17,16.1,80.8,7.93,65
7/29/2020,18,15.9,83.0,8.23,835
7/29/2020,19,19.3,82.5,7.64,1780
7/29/2020,20,19.3,79.7,7.35,70
7/29/2020,21,19.3,82.8,7.65,865
7/29/2020,22,19.4,82.4,7.57,1470
7/29/2020,23,19.4,79.2,7.32,1170
7/29/2020,24,19.4,83.4,7.68,495
7/29/2020,25,14.3,83.9,8.59,830
7/29/2020,26,14.2,84.5,8.68,1745
7/29/2020,27,14.2,84.8,8.70,1295
7/29/2020,28,14.2,84.2,8.64,1170
7/29/2020,29,14.0,83.5,8.60,500
7/29/2020,30,13.5,84.5,8.81,60
7/29/2020,31,18.1,85.7,8.10,1490
7/29/2020,32,18.3,81.2,7.62,1195
7/29/2020,33,18.3,80.9,7.61,505
7/29/2020,34,18.3,82.0,7.71,70
7/29/2020,35,18.2,84.0,7.92,845
7/29/2020,36,18.1,84.1,7.95,1750
8/3/2020,1,15.6,80.7,8.02,70
8/3/2020,2,15.6,81.4,8.10,830
8/3/2020,3,15.6,81.9,8.15,1705
8/3/2020,4,15.6,82.2,8.18,485
8/3/2020,5,15.4,82.3,8.21,1430
8/3/2020,6,14.9,82.6,8.35,1145
8/3/2020,7,21.2,83.1,7.38,1220
8/3/2020,8,21.4,82.3,7.28,535
8/3/2020,9,21.5,82.7,7.30,85
8/3/2020,10,21.5,83.2,7.33,890
8/3/2020,11,21.7,83.0,7.29,1820
8/3/2020,12,21.8,83.2,7.29,1545
8/3/2020,13,16.9,82.3,7.97,480
8/3/2020,14,16.8,81.1,7.85,1430
8/3/2020,15,16.8,82.0,7.94,1150
8/3/2020,16,16.7,80.3,7.81,1730
8/3/2020,17,16.6,79.5,7.75,80
8/3/2020,18,16.2,82.0,8.07,835
8/3/2020,19,19.7,83.0,7.58,1820
8/3/2020,20,19.7,80.6,7.34,80
8/3/2020,21,19.7,82.1,7.51,880
8/3/2020,22,19.7,82.7,7.56,1490
8/3/2020,23,19.7,80.9,7.40,1185
8/3/2020,24,19.6,81.9,7.51,510
8/3/2020,25,14.3,82.9,8.48,825
8/3/2020,26,14.3,83.6,8.56,1735
8/3/2020,27,14.3,83.9,8.59,1465
8/3/2020,28,14.3,83.6,8.55,1165
8/3/2020,29,14.3,82.3,8.40,500
8/3/2020,30,13.6,83.6,8.70,70
8/3/2020,31,18.5,84.9,7.95,1535
8/3/2020,32,18.6,82.9,7.71,1220
8/3/2020,33,18.7,79.9,7.45,520
8/3/2020,34,18.7,82.2,7.67,80
8/3/2020,35,18.7,83.5,7.81,865
8/3/2020,36,18.3,84.0,7.91,1770
8/7/2020,1,15.1,81.4,8.21,75
8/7/2020,2,15.1,82.0,8.25,825
8/7/2020,3,15.0,82.5,8.32,1705
8/7/2020,4,14.7,82.8,8.40,480
8/7/2020,5,14.6,82.7,8.41,1435
8/7/2020,6,14.4,83.1,8.49,1145
8/7/2020,7,20.5,83.2,7.48,1205
8/7/2020,8,20.8,83.2,7.45,535
8/7/2020,9,21.0,83.5,7.44,90
8/7/2020,10,21.2,83.7,7.43,875
8/7/2020,11,21.4,83.7,7.39,1810
8/7/2020,12,21.7,83.5,7.35,1525
8/7/2020,13,16.3,82.7,8.12,485
8/7/2020,14,16.2,81.8,8.03,1435
8/7/2020,15,16.2,82.3,8.06,1160
8/7/2020,16,16.2,82.2,8.07,1735
8/7/2020,17,16.0,80.9,7.98,85
8/7/2020,18,15.8,83.1,8.24,830
8/7/2020,19,19.0,83.8,7.77,1805
8/7/2020,20,19.1,80.4,7.43,85
8/7/2020,21,19.1,82.9,7.68,880
8/7/2020,22,19.2,83.3,7.70,1490
8/7/2020,23,19.2,82.0,7.57,1185
8/7/2020,24,19.3,83.0,7.65,510
8/7/2020,25,14.1,83.3,8.58,830
8/7/2020,26,13.9,84.0,8.68,1725
8/7/2020,27,13.9,84.2,8.70,1450
8/7/2020,28,13.9,84.0,8.67,1085
8/7/2020,29,13.6,82.3,8.55,490
8/7/2020,30,13.1,84.1,8.85,70
8/7/2020,31,17.9,84.9,8.05,1495
